ID,Calories_Burned
TEST_0000,172.37069464231473
TEST_0001,190.6763933005521
TEST_0002,53.738286785345935
TEST_0003,161.0462391414976
TEST_0004,225.26588772823348
TEST_0005,179.371818421063
TEST_0006,99.10504039316505
TEST_0007,43.60669185553049
TEST_0008,80.11328243599311
TEST_0009,59.26638509452181
TEST_0010,123.50628588809602
TEST_0011,54.2658998266771
TEST_0012,14.453795071852767
TEST_0013,177.3952506981496
TEST_0014,228.7499447647876
TEST_0015,13.324775587358005
TEST_0016,97.62781103064866
TEST_0017,130.09468115585884
TEST_0018,157.50948664524606
TEST_0019,6.460810692650881
TEST_0020,50.143997933135566
TEST_0021,89.50753452675127
TEST_0022,23.80033407125518
TEST_0023,86.20121280300368
TEST_0024,19.32397991241055
TEST_0025,129.24690342033068
TEST_0026,105.48421514778498
TEST_0027,189.2320542711526
TEST_0028,121.51566579901461
TEST_0029,99.9628218414819
TEST_0030,24.769075890379114
TEST_0031,243.3587080400766
TEST_0032,54.817245535598644
TEST_0033,47.476816284603224
TEST_0034,133.09597222121766
TEST_0035,113.23938224506439
TEST_0036,38.7567320440044
TEST_0037,129.46886052223365
TEST_0038,11.023804027282793
TEST_0039,129.93805509702676
TEST_0040,201.95202832283653
TEST_0041,168.84185255005536
TEST_0042,145.34262096064492
TEST_0043,60.39916587901237
TEST_0044,67.23307838183958
TEST_0045,53.01388555493992
TEST_0046,77.39935717450473
TEST_0047,197.99364806224196
TEST_0048,139.4415679757122
TEST_0049,124.73337458023906
TEST_0050,11.630256622114686
TEST_0051,112.35652308206136
TEST_0052,157.3706637713424
TEST_0053,92.42703661951668
TEST_0054,68.56765906291747
TEST_0055,85.69516706030366
TEST_0056,162.55168113621994
TEST_0057,18.03380220308243
TEST_0058,31.118828358362975
TEST_0059,96.72955735095664
TEST_0060,39.410796095539744
TEST_0061,108.3947313033771
TEST_0062,90.1279001917444
TEST_0063,50.66335159766555
TEST_0064,35.38855139261361
TEST_0065,135.64591596829763
TEST_0066,229.31778233690926
TEST_0067,126.06225840799719
TEST_0068,100.98735386175186
TEST_0069,44.61229356509553
TEST_0070,124.60962690842558
TEST_0071,24.080603009680686
TEST_0072,8.929228101357495
TEST_0073,152.4968262011091
TEST_0074,31.81940948276474
TEST_0075,91.00809178196742
TEST_0076,63.57244445400768
TEST_0077,65.06849805101352
TEST_0078,45.64805701161488
TEST_0079,187.07339700267363
TEST_0080,173.98655955228688
TEST_0081,136.72540613469496
TEST_0082,91.31431652795742
TEST_0083,101.54203498290771
TEST_0084,56.75013793054074
TEST_0085,179.26020518821917
