운동시간(분),나이,키(cm),체중(kg),심박수(BPM),체온(C),소모칼로리,BMI,키_scaled,체중(kg)_scaled,심박수(BPM)_scaled,체온(C)_scaled,BMI_scaled,성별_F,성별_M,체중상태_과체중,체중상태_보통체중,체중상태_비만
26.0,45,175.26,69.99,107.0,40.89,166.0,22.786119926367135,0.05265421274730134,-0.3321083857010638,1.1997743003249535,1.1101906441995633,-0.990600328037927,1,0,0,1,0
7.0,50,198.12,102.01,88.0,39.61,33.0,25.98879293748068,1.6493116073757095,1.7873656411756351,-0.7821397982133219,-0.52067638313385,1.045448775445185,0,1,1,0,0
7.0,29,190.5,99.02,86.0,39.61,23.0,27.285565682242474,1.1170924758329068,1.5894509834504211,-0.9907623349015615,-0.52067638313385,1.8698516961403489,0,1,1,0,0
17.0,33,167.64,67.0,99.0,40.0,91.0,23.840727203952113,-0.4795649187955014,-0.5300230434262767,0.3652841535719954,-0.023771585743200336,-0.32015030251156745,1,0,0,1,0
9.0,38,177.8,77.02,88.0,39.28,32.0,24.36351811479133,0.2300605899282369,0.1332227326294543,-0.7821397982133219,-0.9411342886182431,0.012205814278891815,0,1,0,1,0
14.0,27,187.96,87.0,100.0,40.22,71.0,24.625688404042986,0.9396860986519733,0.7938208209564205,0.46959542191611514,0.2565336845797284,0.17887646112246333,0,1,0,1,0
4.0,43,182.88,89.0,91.0,38.72,18.0,26.610778530199035,0.5848733442901041,0.9262052073946901,-0.4692059931809627,-1.6546386130766138,1.4408663544609397,0,1,1,0,0
14.0,50,162.56,59.01,99.0,40.28,81.0,22.330488996915495,-0.8343776731573685,-1.0588986672471643,0.3652841535719954,0.33298057648598495,-1.2802605406821892,1,0,0,1,0
27.0,33,165.1,63.0,108.0,40.72,172.0,23.11247226044748,-0.656971295976435,-0.7947918163028161,1.304085568669073,0.8935911171318425,-0.7831269534791943,1,0,0,1,0
7.0,53,165.1,60.01,83.0,39.28,29.0,22.015546989673858,-0.656971295976435,-0.9927064740280295,-1.3036961399339206,-0.9411342886182431,-1.4804799790289573,1,0,0,1,0
12.0,27,200.66,96.98,98.0,40.22,60.0,24.085771613299354,1.826717984556643,1.4544189092833866,0.2609728852278756,0.2565336845797284,-0.16436716504055657,0,1,0,1,0
9.0,30,149.86,53.98,93.0,39.72,44.0,24.035957293402657,-1.7214095590620384,-1.3918453991394129,-0.2605834564927232,-0.38052374797238564,-0.19603583711989153,1,0,0,1,0
20.0,23,177.8,69.99,101.0,40.61,107.0,22.13973815702733,0.2300605899282369,-0.3321083857010638,0.5739066902602349,0.7534384819703781,-1.401527393462739,1,0,0,1,0
3.0,33,177.8,76.02,76.0,38.5,8.0,24.047190951524758,0.2300605899282369,0.06703053941031945,-2.033875018342759,-1.9349438833995425,-0.18889421527183778,1,0,0,1,0
10.0,71,182.88,83.01,89.0,39.89,55.0,24.81978343586317,0.5848733442901041,0.5297139700120727,-0.6778285298692022,-0.16392422090466469,0.30226933143943824,0,1,0,1,0
25.0,50,170.18,67.99,100.0,40.78,144.0,23.47621090875953,-0.30215854161456585,-0.46449277213933354,0.46959542191611514,0.970038009038099,-0.5518858163952644,1,0,0,1,0
5.0,62,152.4,57.02,81.0,39.11,20.0,24.550326878431534,-1.5440031818811049,-1.1906211317532425,-1.5123186766221604,-1.157733815685964,0.1309665539524626,1,0,0,1,0
11.0,28,172.72,70.99,86.0,40.0,42.0,23.796436001176495,-0.12475216443363224,-0.265916192481929,-0.9907623349015615,-0.023771585743200336,-0.34830773956198025,1,0,0,1,0
13.0,36,172.72,73.98,106.0,40.11,79.0,24.798708766967707,-0.12475216443363224,-0.06800153475671514,1.0954630319808336,0.11638104941826402,0.28887144143883214,1,0,1,0,0
23.0,21,182.88,81.01,94.0,40.39,87.0,24.22178841271263,0.5848733442901041,0.397329583573803,-0.1562721881486034,0.4731332116474493,-0.07789661948593712,0,1,0,1,0
27.0,55,182.88,82.01,109.0,40.72,179.0,24.5207859242879,0.5848733442901041,0.4635217767929378,1.408396837013193,0.8935911171318425,0.11218635597675057,1,0,0,1,0
5.0,20,177.8,79.02,84.0,38.89,11.0,24.99617244132447,0.2300605899282369,0.265607119067724,-1.199384871589801,-1.4380390860088927,0.414405873380351,0,1,1,0,0
28.0,32,162.56,64.0,105.0,40.5,169.0,24.218798437596877,-0.8343776731573685,-0.7285996230836813,0.9911517636367139,0.6132858468089137,-0.07979744924056416,1,0,0,1,0
